ID,Main Road,At Road,From Road,To Road,District,Road Type,Latitude,Longitude,Start Date Time,End Date Time,Note,Description,Urgent
"25227","KIPLING AVE","","HENLEY CRES","LAKELAND DR","Etobicoke York","Collector","43.730654","-79.575805","2015-08-17 07:00","2015-10-30 19:00","Continuous","The southbound lane will be occupied due to Kipling/ Humber river bridge deck replacement.","Planned"
"25266","MIDDLEFIELD RD","","NEWMILL GT","MCNICOLL AVE","Scarborough","Collector","43.8229","-79.26302","2015-08-12 07:00","2015-12-24 19:00","Daily","Southbound curb lane will be occupied due to thesl underground installation.","Planned"
"25313","O CONNOR DR","","BROADVIEW AVE","DONLANDS AVE","Toronto and East York","Minor Arterial","43.692282","-79.355624","2015-09-08 07:00","2015-11-12 19:00","Continuous","One eastbound and one westbound lane will be occupied due to road resurfacing.","Planned"
"25314","MOUNT PLEASANT RD","TED ROGERS WAY","BLOOR ST E","TED ROGERS WAY","Toronto and East York","Major Arterial","43.671825","-79.379375","2015-08-24 07:00","2015-10-31 19:00","Continuous","The northbound and southbound lanes will be occupied due to THESL underground installation.","Planned"
"25318","IVY AVE","","LESLIE ST","GREENWOOD AVE","Toronto and East York","Local","43.672414","-79.334193","2015-08-17 07:00","2015-11-17 19:00","Continuous","The eastbound lane will be occupied due to installation of watermain, storm sewer associated services and permanent restoration.","Planned"
"25357","WILSON AVE","HWY 401","","","Etobicoke York","Major Arterial","43.718361","-79.520033","2015-08-13 09:00","2015-11-15 15:00","Daily","Two eastbound lanes will be occupied due to bridge reconstruction.","Planned"
"25389","GARDINER EXPY EB","","JAMESON AVE","BATHURST ST","Toronto and East York","Expressway","43.6374","-79.41012","2015-08-19 00:01","2015-12-31 23:59","Continuous","Eastbound Gardiner reduced from 3 to 2 lanes due to Gardiner deck rehabilitation.","Planned"
"25391","GARDINER EXPY WB","","SPADINA AVE","JAMESON AVE","Toronto and East York","Expressway","43.63877","-79.39222","2015-08-19 00:01","2016-10-31 23:59","Continuous","Westbound Gardiner reduced from 3 to 2 lanes due to Gardiner deck rehabilitation.","Planned"
"25398","KIPLING AVE","MOUNT OLIVE DR","","","Etobicoke York","Major Arterial","43.746809","-79.583833","2015-08-13 07:00","2015-10-31 19:00","Continuous","The northbound and southbound lanes will be occupied due to watermain and sewer installations.","Planned"
"25438","RED MAPLE CRT","","ELKHORN DR","ELKHORN DR","North York","Local","43.770592","-79.380627","2015-08-18 07:00","2016-06-30 19:00","Daily","The northbound and southbound lane will be occupied due to watermain and water service replacement.","Planned"
"25443","CLIFFWOOD RD","","DON MILLS RD","FRESHMEADOW DR","North York","Collector","43.804905","-79.354786","2015-08-16 07:00","2016-06-30 19:00","Daily","The eastbound and westbound lanes will be occupied due to watermain and water service replacement.","Planned"
"25444","GLENEAGLE CRES","","KINGSLAKE RD","KINGSLAKE RD","North York","Local","43.782755","-79.342218","2015-08-18 07:00","2016-06-30 19:00","Daily","The northbound and southbound lanes will be occupied due to sewer replacement.","Planned"
"25445","COMMONS DR","","ESQUIRE RD","FARMCREST DR","Scarborough","Local","43.774172","-79.319393","2015-08-18 07:00","2016-06-30 19:00","Daily","The northbound and southbound lanes will be occupied due to watermain and water service replacement.","Planned"
"25449","ELGIN RD","","","","North York","Local","43.77281","-79.4313","2015-08-18 07:00","2016-06-30 19:00","Daily","The northbound and southbound lane will be occupied due to watermain and water service replacement.","Planned"
"25455","UNICORN AVE","","SNOWCREST AVE","SNOWCREST AVE","North York","Local","43.792294","-79.386653","2015-08-18 18:11","2016-06-30 21:11","Daily","The eastbound and westbound lanes will be occupied due to sewer main replacement.","Planned"
"25464","ENDSLEIGH CRES","","EDMONTON DR","IPSWICH CRES","North York","Local","43.781181","-79.338496","2015-08-18 07:00","2016-06-30 19:00","Daily","The eastbound and westbound lanes will be occupied due to sewer main replacement.","Planned"
"25478","BONNYCASTLE ST","QUEENS QUAY E","","","Toronto and East York","Local","43.645574","-79.364393","2015-08-17 00:01","2015-12-15 23:59","Continuous","Northbound lane will be blocked due to water work.","Planned"
"25483","QUEENS QUAY E","","BONNYCASTLE ST","PARLIAMENT ST","Toronto and East York","Major Arterial","43.645569","-79.364391","2015-08-17 00:01","2015-12-15 23:59","Continuous","One eastbound and westbound lane will be blocked due to installation of sanitary sewer.","Planned"
"25493","SMALL ST","QUEENS QUAY E","","","Toronto and East York","Local","43.64674","-79.36207","2015-08-17 07:00","2015-12-15 19:00","Daily","The southbound lane will be occupied due to installation of dewatering system, sewer and permanent restoration.","Planned"
"25554","FINCH AVE E","MILLIKEN BLVD","","","Scarborough","Major Arterial","43.80183","-79.294276","2015-05-21 13:14","2015-10-30 16:14","Continuous","The westbound curb lane will be occupied due to sidewalk construction.","Planned"
